Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 10  	 ||||Top-20 	 0.0000 TEST SET,0.0731,0.0321,0.0213	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 20  	 ||||Top-20 	 0.0000 TEST SET,0.0693,0.0259,0.0139	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 30  	 ||||Top-20 	 0.0000 TEST SET,0.0763,0.0274,0.0141	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 40  	 ||||Top-20 	 0.0000 TEST SET,0.0687,0.0243,0.0120	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 50  	 ||||Top-20 	 0.0000 TEST SET,0.0696,0.0243,0.0118	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 60  	 ||||Top-20 	 0.0000 TEST SET,0.0728,0.0254,0.0126	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 70  	 ||||Top-20 	 0.0000 TEST SET,0.0725,0.0251,0.0122	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 80  	 ||||Top-20 	 0.0000 TEST SET,0.0734,0.0253,0.0123	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 90  	 ||||Top-20 	 0.0000 TEST SET,0.0719,0.0247,0.0119	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 100  	 ||||Top-20 	 0.0000 TEST SET,0.0763,0.0256,0.0119	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 0  	 ||||Top-20 	 0.0000 TEST SET,0.0406,0.0145,0.0074	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 10  	 ||||Top-20 	 0.0000 TEST SET,0.0470,0.0150,0.0068	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 20  	 ||||Top-20 	 0.0000 TEST SET,0.0520,0.0163,0.0069	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 30  	 ||||Top-20 	 0.0000 TEST SET,0.0556,0.0177,0.0078	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 40  	 ||||Top-20 	 0.0000 TEST SET,0.0656,0.0220,0.0105	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 50  	 ||||Top-20 	 0.0000 TEST SET,0.0840,0.0361,0.0231	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 60  	 ||||Top-20 	 0.0000 TEST SET,0.0986,0.0432,0.0279	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 70  	 ||||Top-20 	 0.0000 TEST SET,0.1040,0.0462,0.0301	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 80  	 ||||Top-20 	 0.0000 TEST SET,0.1106,0.0494,0.0325	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 90  	 ||||Top-20 	 0.0000 TEST SET,0.1124,0.0501,0.0329	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 100  	 ||||Top-20 	 0.0000 TEST SET,0.1190,0.0518,0.0333	||||
